category,crawl_date,subcategory,title,mrp,urlh,http_status,pack_size,available_price
Household,20180727,Trash Bags & Liners,Seventh Generation 13 Gallon Extra Strong Flap Tie...,0,1ef0f41ebcee030a35440405f2f8b0165c719c89,200,30 ct,5.99
Household,20180727,Trash Bags & Liners,BioBag Food Scrap Bags Small 3 Gallon - 25 CT - 25...,0,c566570abdbe95b5e6a78eb8b3b2424108bf36a2,200,25 ct,5.49
Household,20180727,Trash Bags & Liners,If You Care Certified Compostable Food Waste Bags ...,0,3b22b28b351dec75664b17fcf586023ddc21704c,200,30.0 ct,5.69
Household,20180727,Trash Bags & Liners,BioBag Food Scrap Bags Tall Kitchen 13 Gallon - 12...,0,7ff787f49e137237054f95e7cb5b0f8611e7f6fb,200,12 ct,5.99
Household,20180727,Trash Bags & Liners,Seventh Generation 13 Gal with Drawstring Closure ...,0,a7ad16e71257855c033aad46eb5082a2153b97c6,200,20 ct,5.99
Household,20180727,Paper Goods,Field Day 100% Recycled Paper Towels - 3 ct,0,7842869e31f564268680d898976fad8dafb135aa,200,3 ct,3.99
Household,20180727,Paper Goods,Seventh Generation 2-Ply 100% Recycled Bathroom Ti...,0,6397ec7c03a550bb4b4f508bc58dbd92adae6d51,200,12 ct,11.99
Household,20180727,Paper Goods,Field Day 100% Recycled Bath Tissue - 12 ct,8.99,1bfe149f2392841ba7a71a6ef7c366cc982a49ca,200,12 ct,7.99
Household,20180727,Paper Goods,Seventh Generation 100% Unbleached Recycled Paper ...,2.99,4dd425297b7e0ce4db883350d2133fb77a6fe533,200,82.5 sq ft,2.69
Household,20180727,Paper Goods,Seventh Generation 2-Ply Right Size 100% Recycled ...,5.29,cc7f63df1d280c4feeb6574c0d4fb1f81732f5fe,200,2 ct,4.89
Household,20180727,Paper Goods,Field Day 100% Recycled Paper Towels Custom Sizes ...,0,f46e0aab5e45ed77fadc6ceff04a4c891e97dd79,200,,1.69
Household,20180727,Paper Goods,Natural Value 100% Recycled Bathroom Tissue - 12 c...,0,5a98a19ab531c749442b5cd91b63199358047874,200,12 ct,10.39
Household,20180727,Paper Goods,Field Day 100% Recycled Facial Tissue - 85 ct,0,1e0975914347b9d67c20bfa3376662ca33dacb8e,200,85 ct,1.49
Household,20180727,Paper Goods,Natural Value Bathroom Tissue 500 Sheets 2 Ply Sin...,0,b47f120a137c8874fddabba6424fb13c210ed177,200,1 ea,0.79
Household,20180727,Paper Goods,Seventh Generation 2-Ply 100% Recycled Bathroom Ti...,0,15f7f30a5fceb733c060c5064ad840cfcfee9f7c,200,4 ct,4.49
Household,20180727,Paper Goods,Seventh Generation 2-Ply 100% Recycled White Facia...,0,5405bef4520ce36da0eac8354c5662cdb0818d2d,200,1 ea,2.89
Household,20180727,Paper Goods,Seventh Generation 2-Ply 100% Recycled White Facia...,0,27aa381cbf21b28ba797dd1650f5cdfdebe4fe0b,200,85 ct,2.79
